# "nb elmt" "Temps ABR (microsecondes)" "Temps ARN (microsecondes)"
0 0 0
1000 805 118
2000 1421 231
3000 2014 340
4000 2572 446
5000 3096 553
6000 3619 656
7000 4108 755
8000 4608 860
9000 5061 963
10000 5496 1056
11000 6057 1163
12000 6526 1262
13000 7005 1368
14000 7466 1469
15000 7934 1568
16000 8273 1671
17000 8815 1783
18000 9056 1811
19000 9496 1966
20000 10224 2078
21000 10743 2192
22000 11180 2292
23000 11677 2396
24000 12126 2495
25000 12632 2585
